"tanggal","stasiun","pm25","pm10","so2","co","o3","no2","max","critical","categori"
"2023-11-30","DKI1 (Bunderan HI)",67,38,43,12,34,34,67,"PM25","SEDANG"
"2023-12-01","DKI1 (Bunderan HI)",73,54,36,12,22,13,73,"PM25","SEDANG"
"2023-12-02","DKI1 (Bunderan HI)",67,53,39,11,14,12,67,"PM25","SEDANG"
"2023-12-03","DKI1 (Bunderan HI)",76,60,38,10,22,12,76,"PM25","SEDANG"
"2023-12-04","DKI1 (Bunderan HI)",76,58,35,13,20,12,76,"PM25","SEDANG"
"2023-12-05","DKI1 (Bunderan HI)",74,54,35,10,20,12,74,"PM25","SEDANG"
"2023-12-06","DKI1 (Bunderan HI)",79,58,35,14,13,13,79,"PM25","SEDANG"
"2023-12-07","DKI1 (Bunderan HI)",68,48,34,11,18,12,68,"PM25","SEDANG"
"2023-12-08","DKI1 (Bunderan HI)",62,51,33,9,24,11,62,"PM25","SEDANG"
"2023-12-09","DKI1 (Bunderan HI)",73,58,34,12,18,14,73,"PM25","SEDANG"
"2023-12-10","DKI1 (Bunderan HI)",42,28,30,9,13,7,42,"PM25","BAIK"
"2023-12-11","DKI1 (Bunderan HI)",61,43,31,14,23,8,61,"PM25","SEDANG"
"2023-12-12","DKI1 (Bunderan HI)",43,25,30,6,16,6,43,"PM25","BAIK"
"2023-12-13","DKI1 (Bunderan HI)",35,29,30,7,13,5,35,"PM25","BAIK"
"2023-12-14","DKI1 (Bunderan HI)",32,27,31,6,12,5,32,"PM25","BAIK"
"2023-12-15","DKI1 (Bunderan HI)",39,27,32,5,21,5,39,"PM25","BAIK"
"2023-12-16","DKI1 (Bunderan HI)",63,46,36,8,14,7,63,"PM25","SEDANG"
"2023-12-17","DKI1 (Bunderan HI)",78,59,30,19,29,9,78,"PM25","SEDANG"
"2023-12-18","DKI1 (Bunderan HI)",86,64,30,16,33,12,86,"PM25","SEDANG"
"2023-12-19","DKI1 (Bunderan HI)",85,58,32,16,23,13,85,"PM25","SEDANG"
"2023-12-20","DKI1 (Bunderan HI)",95,65,53,NA,24,12,95,"PM25","SEDANG"
"2023-12-21","DKI1 (Bunderan HI)",71,53,57,NA,26,13,71,"PM25","SEDANG"
"2023-12-22","DKI1 (Bunderan HI)",59,39,52,NA,15,9,59,"PM25","SEDANG"
"2023-12-23","DKI1 (Bunderan HI)",39,31,48,10,24,7,48,"SO2","BAIK"
